round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
368,6,5,3;5;6,2;3;4,6,15,0,3,0,12
369,8,8,3;5;6;7;8,2;3;4;5;6;7,8,221,0,133,0,88
370,8,14,5;6,2;3;4;5;6,6,1646,268,1378,0,0
371,7,14,3,2,3,65,65,0,0,0
372,9,12,3;6;8;9,2;3;4;5;8,9,5995,0,5991,0,4
373,6,7,4;5,2;3;5,5,24,0,21,0,3
374,6,6,5;6,3;4;5,6,21,0,19,0,2
375,9,9,3;4;5;7,1;3;4;5,7,771,2,123,25,621
376,6,9,6,1;3;4,6,21,0,21,0,0
377,6,14,3;5;6,1;2;5,6,1,0,1,0,0
378,6,7,4;6,1;2;4,6,24,0,21,0,3
379,8,10,3;5;6;8,1;2;3;5;7,8,663,0,647,0,16
380,8,16,3;4;5;6;8,1;2,8,1312,0,1287,25,0
381,9,13,4;5;6;8;9,1;2;5;6,9,10120,0,10023,30,67
382,10,16,4;5;7,3;6;8,7,241577,27900,213676,0,1
383,8,7,4;5;7,2;5,7,115,0,65,0,50
384,9,20,3;8;9,2;4;5;6;7;8,9,27987,0,27987,0,0
385,10,14,5;6;7,2;4;6;7,7,71318,4064,67254,0,0
386,9,20,4;5;6;7;9,2;5;7,9,27987,0,27987,0,0
387,9,17,3;4;8;9,1;2;5;7;8,9,32403,0,32403,0,0
388,6,12,3;6,3;5,6,5,0,5,0,0
389,10,14,5,5;6;8,5,71318,38211,33107,0,0
390,8,16,4;6,2;3;4;5;6,6,1312,287,1025,0,0
391,6,14,4,4;5,4,1,1,0,0,0
392,6,13,3,1;2;3;4;5,3,2,2,0,0,0
393,9,9,5;8;9,4;7;8,9,771,0,736,0,35
394,8,12,4;5;6,1;2;4,6,1312,94,1208,5,5
395,10,9,3;4;7,3;6;8,7,1103,2,339,18,744
396,9,18,3;6,3;5;6,6,34040,13769,20271,0,0
397,7,16,3;4;6,3;4;5;6,6,21,4,17,0,0
398,9,16,5;8,1;3;5;8,8,27987,185,27802,0,0
399,8,16,7,2;4;6;7,7,1312,34,1278,0,0
400,8,13,3;6,1;5;6,6,1557,183,1374,0,0
401,7,9,4;5;7,4;5,7,131,0,126,0,5
402,10,12,3;4;5;10,2;3;4;5;6;7;8;9,10,15772,0,10435,651,4686
403,10,21,3;4;7;9;10,3;6;8,10,1251389,0,1251389,0,0
404,6,5,4;5,1;3,5,15,0,6,0,9
405,6,6,3;4;5;6,3;4;5,6,21,0,0,1,20
406,9,13,3;4;5;9,2;3;5;8,9,10120,0,9316,423,381
407,7,8,3,1;2;4;6,3,97,64,23,0,10
408,7,15,4;7,1;3,7,41,0,41,0,0
409,10,20,4;5;7;8;9,5;6;7;8,9,1061159,4734,1056425,0,0
410,6,7,4;5,1;3,5,24,0,21,0,3
411,9,12,6;7,1;4;6,7,5995,107,5888,0,0
412,8,16,3;4;6;8,2;4;5;7,8,1312,0,1311,1,0
413,10,15,5;6;8;9;10,2;3;7;8,10,136433,0,136432,1,0
414,6,9,3;6,1;2;3;5,6,21,0,21,0,0
415,9,18,3;6;8;9,2;4;5;7;8,9,34040,0,34040,0,0
416,7,10,6,1;2;5,6,148,2,146,0,0
417,6,13,3;6,1;3;4;5,6,2,0,2,0,0
418,6,5,3;5,3;4,5,15,0,3,0,12
419,10,12,4;7;8;10,4;5,10,15772,0,15618,0,154
420,8,15,3;5;8,1;4;6,8,1557,0,1557,0,0
421,8,16,3;5;6;7,2,7,1312,34,1278,0,0
422,8,11,3;5,3;6;7,5,980,234,746,0,0
423,6,13,3;6,5,6,2,0,2,0,0
424,6,7,3;5,1;3;4;5,5,24,0,21,0,3
425,7,6,3,1;3;4;5,3,41,11,4,0,26
426,9,14,3;5;9,2;4;7,9,15615,0,15615,0,0
427,7,11,3;7,1;3,7,148,0,148,0,0
428,9,18,3;4;7;8;9,1;2;4;5;8,9,34040,0,34040,0,0
429,6,6,3;5;6,1;3;4,6,21,0,10,0,11
430,9,12,3;6;9,1;2;3;5,9,5995,0,5991,0,4
431,8,8,3;4;5;6;7;8,1;2;4;6;7,8,221,0,0,8,213
432,9,13,5;8;9,4;5;7;8,9,10120,0,10120,0,0
433,9,18,3;6;7;9,2;4,9,34040,0,34040,0,0
434,9,15,3;5;6;8;9,1;4;5;8,9,21933,0,21933,0,0
435,6,12,3;5;6,4;5,6,5,0,5,0,0
436,9,20,4;7;8;9,1;4;7,9,27987,0,27987,0,0
437,10,19,3;4;5;6,1;3;4;5;7;9,6,828728,458327,369495,906,0
438,6,5,3;5;6,1;3;4,6,15,0,3,0,12
439,8,14,4;6;7,2;3;6;7,7,1646,21,1624,1,0
440,9,10,3;4;5;7;8;9,1;3;5;7,9,1637,0,522,76,1039
441,8,8,4,1;2;3,4,221,43,137,0,41
442,6,11,3;5;6,3;4;5,6,9,0,9,0,0
443,8,10,5;7;8,2;3;6;7,8,663,0,663,0,0
444,7,12,4;6,1;4,6,131,8,122,1,0
445,9,13,3;4;8,1;3;4;5;6;8,8,10120,20,9940,83,77
446,7,8,3;6;7,1;3,7,97,0,86,0,11
447,6,8,3;4;6,1;3;4,6,24,0,15,3,6
448,8,7,4;5,2;3;4;5;6,5,115,2,64,0,49
449,6,9,3;4,2;3;5,4,21,7,12,1,1
450,6,5,4;5,2;5,5,15,0,6,0,9
451,7,9,6,1;4;5;6,6,131,3,128,0,0
452,8,7,5;6,1;2;6,6,115,1,83,0,31
453,10,17,3;7;8;10,4;5;6;7;9,10,395166,0,395166,0,0
454,10,19,3;4;5;6,1;3;5;6;7;8;9,6,828728,458327,369495,906,0
455,9,15,3;4;5;6;7;9,1;3;6,9,21933,0,16568,4976,389
456,8,13,4;5;6;7,3;4;7,7,1557,18,1534,5,0
457,9,17,3;4,2;5;6;7;8,4,32403,31812,591,0,0
458,8,9,3;4;7,4;7,7,402,0,218,15,169
459,8,11,3;4;5;7,6,7,980,8,708,100,164
460,7,7,4;7,1;3;5;6,7,65,0,52,0,13
461,6,10,5,1;2;4,5,15,1,14,0,0
462,6,9,3;4,2;3,4,21,7,12,1,1
463,8,13,3;8,1;6,8,1557,0,1557,0,0
464,6,13,4;6,3;5,6,2,0,2,0,0
465,9,9,5;7,4;5;6,7,771,2,732,0,37
466,10,13,5;7;8,2;3;4;6;7;8;9,8,34663,162,34501,0,0
467,8,9,3;4;5,5,5,402,46,59,23,274
468,6,11,3,3;5,3,9,9,0,0,0
469,10,21,3,1;3;4;5;6;7;8,3,1251389,1251281,108,0,0
470,6,9,5;6,2;3;4;5,6,21,0,21,0,0
471,7,10,6;7,2;6,7,148,0,148,0,0
472,7,14,3;7,1;3;4;5,7,65,0,65,0,0
473,6,10,4;5,1;2;4;5,5,15,1,14,0,0
474,6,11,5;6,3;5,6,9,0,9,0,0
475,6,5,3;4;6,1,6,15,0,1,0,14
476,10,17,4;6;7;8;9,3;4;5;6;7;8;9,9,395166,663,394346,157,0
477,6,5,5,3;5,5,15,0,8,0,7
478,7,14,6;7,1;2;4;5;6,7,65,0,65,0,0
479,6,12,3;4;5,1;2;3,5,5,1,4,0,0
