round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
194,9,13,4;5;7;8;9,2;4,9,10120,0,10111,0,9
195,7,7,6,1;2,6,65,1,63,0,1
196,9,17,3;4;5;7;9,1;2;3;4;5;6;8,9,32403,0,32381,22,0
197,8,18,7,2;6,7,663,18,645,0,0
198,9,19,5;8,1;3;4;5;6;7;8,8,32403,290,32113,0,0
199,8,16,3;5;7;8,1;2;3;4;5;6,8,1312,0,1312,0,0
200,7,12,6,1;2;3;4;6,6,131,8,123,0,0
201,7,10,4;5;6,1;4;5,6,148,2,142,1,3
202,8,10,3;4,2;3;5;7,4,663,320,199,28,116
203,9,11,4;5;7;9,1;2;6;7;8,9,3252,0,3141,0,111
204,6,14,3,2;3;5,3,1,1,0,0,0
205,8,16,5;6;7,1;3;5,7,1312,34,1278,0,0
206,9,8,3;7;8,5;6;7;8,8,345,0,190,0,155
207,9,20,3;4;6;7;8,2,8,27987,270,27716,1,0
208,9,12,5;9,1;2;3;5;6,9,5995,0,5995,0,0
209,6,5,4;5;6,1;2;4;5,6,15,0,6,0,9
210,6,14,4,2;3,4,1,1,0,0,0
211,9,14,3;5;7;8,1;2;4;5,8,15615,59,15556,0,0
212,6,10,3;4;5;6,3,6,15,0,0,15,0
213,7,12,3;5;6,1;2;3;6,6,131,8,123,0,0
214,10,15,3;4;5;6;7,4;5,7,136433,11433,86390,22552,16058
215,7,13,3;4;6,2;4,6,97,7,90,0,0
216,10,22,6;8,1;3;5;6;7,8,1358852,97592,1261260,0,0
217,6,10,4;5,2;4;5,5,15,1,14,0,0
218,10,20,5;7;8,2;4;5;6;7,8,1061159,49448,1011711,0,0
219,7,6,3;4;5;6,2;5,6,41,0,0,1,40
220,8,13,4;6;8,2;7,8,1557,0,1550,7,0
221,9,19,3;4;7;8,4;5;6,8,32403,290,32113,0,0
222,9,20,3;7;8,1;3;4;5;6;7,8,27987,270,27717,0,0
223,8,7,3;5;7,2;3;5;7,7,115,0,46,0,69
224,7,13,3;4;7,1;3;4;5;6,7,97,0,97,0,0
225,7,6,5,1;3;6,5,41,1,27,0,13
226,8,14,6;7,3;5,7,1646,21,1625,0,0
227,8,7,3;8,3;5;7,8,115,0,53,0,62
228,7,11,4;5,3;4;5,5,148,23,125,0,0
229,7,11,3;5;6;7,1;2;3;6,7,148,0,148,0,0
230,10,20,3;5;6;7;8;9;10,1;2;3;7;8,10,1061159,0,1061159,0,0
231,8,16,3;4;6;7;8,1;7,8,1312,0,1311,1,0
232,8,16,3;4;6,2;4;5,6,1312,287,1025,0,0
233,7,7,4;6;7,1;2;5;6,7,65,0,50,0,15
234,6,9,3;4;5,4;5,5,21,3,8,7,3
235,6,11,3;4,2,4,9,7,2,0,0
236,10,15,5;6;7;8,1;3;4;6;7;8;9,8,136433,1925,134508,0,0
237,8,13,4;5;6;8,2;6,8,1557,0,1550,7,0
238,9,11,3;4;7,1;3;4;7;8,7,3252,42,2637,85,488
239,10,12,6;7;8;9;10,2;3;5;9,10,15772,0,15769,0,3
240,9,14,7;8;9,2;3;4;5;6;8,9,15615,0,15615,0,0
241,9,16,3;4;5;7;9,1;2;7,9,27987,0,27922,65,0
242,9,10,5;6;7;8;9,1;2;6,9,1637,0,1607,0,30
243,6,11,3;6,2;3;4,6,9,0,9,0,0
244,10,9,4;6;7;9,1;2;5;6;8,9,1103,0,773,1,329
245,8,14,6;8,1;2;3;4;6,8,1646,0,1646,0,0
246,8,7,7,6;7,7,115,0,91,0,24
247,9,11,4;6;7;9,1;4;6;7;8,9,3252,0,3110,7,135
248,7,16,5;6,6,6,21,4,17,0,0
249,6,11,3;4;5;6,1;4,6,9,0,0,9,0
250,6,12,5,1;3,5,5,1,4,0,0
251,8,15,5;6;7;8,1;4;5;6,8,1557,0,1557,0,0
252,8,10,3;4;5,4;5;6,5,663,119,211,58,275
253,10,17,6;7;8,1;4;5;6;8,8,395166,9868,385298,0,0
254,6,8,4,3;5,4,24,7,16,0,1
255,10,14,3;5;8;10,3;5;7,10,71318,0,71318,0,0
256,7,11,3;5,1;3;5;6,5,148,23,125,0,0
257,6,6,3;4;5;6,3;4,6,21,0,0,1,20
258,7,12,4;7,1;3;4;5;6,7,131,0,131,0,0
259,6,10,5,1;5,5,15,1,14,0,0
260,10,12,4;5;6;7;10,2;3;7;8;9,10,15772,0,14504,24,1244
261,8,7,6;7,1;2;6;7,7,115,0,89,0,26
262,10,14,3;4;6;7;8,2;5;7,8,71318,551,68815,609,1343
263,10,15,3;5;9,2;3;5;6,9,136433,112,136321,0,0
264,9,12,3;8,1;2;3;5;7,8,5995,8,5983,0,4
265,9,20,6;9,1;3;6;7,9,27987,0,27987,0,0
266,7,13,4,3;4,4,97,75,22,0,0
267,9,16,3;6,2;3;4;7,6,27987,8272,19715,0,0
268,6,8,4;5;6,1;2;3;4;5,6,24,0,22,0,2
269,8,7,3;5;7;8,4;5;6,8,115,0,46,0,69
